committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00055582,NY REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,2019,M2,2.01902E+17,21B,BBB14A5C316754592806,1316997,ORG,ORGANIZATION,,,ANEDOT.COM,LA,,,,,BANK FEES,,,1/31/2019 0:00,18.69,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,35:21.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4.02202E+18,BATON ROUGE,708844314,OTHER,,2020,SB,4.02202E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201902209145538670,Other Federal Operating Expenditures,,,,,,
C00600718,DAVIDSON FOR CONGRESS,2019,Q2,2.01907E+17,17,B13033141091843E09EF,1337220,ORG,ORGANIZATION,,,PNC BANK,OH,,,,,BANK FEES,,,4/30/2019 0:00,100,,,,,,,,,,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,WEST CHESTER,450692510,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456972,Operating Expenditures,,,,,,
C00600718,DAVIDSON FOR CONGRESS,2019,Q2,2.01907E+17,17,B7F448B16DE6C4D8AB2F,1337220,ORG,ORGANIZATION,,,PNC BANK,OH,,,,,BANK FEES,,,5/31/2019 0:00,75,,,,,,,,,,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,WEST CHESTER,450692510,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456979,Operating Expenditures,,,,,,
C00600718,DAVIDSON FOR CONGRESS,2019,Q2,2.01907E+17,17,B906D1CE223504093B56,1337220,ORG,ORGANIZATION,,,PNC BANK,OH,,,,,BANK FEES,,,6/28/2019 0:00,75,,,,,,,,,,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,WEST CHESTER,450692510,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456984,Operating Expenditures,,,,,,
C00444224,LANCE FOR CONGRESS,2019,Q2,2.01907E+17,17,BCADC616F7918432A935,1337173,ORG,ORGANIZATION,,,TD BANK,NJ,,,,,BANK FEES,,,4/15/2019 0:00,61.39,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,OLD BRIDGE,88572861,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456393,Operating Expenditures,,,,,,
C00444224,LANCE FOR CONGRESS,2019,Q2,2.01907E+17,17,B539C0A13BBFF4D478C2,1337173,ORG,ORGANIZATION,,,TD BANK,NJ,,,,,BANK FEES,,,4/30/2019 0:00,2,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,OLD BRIDGE,88572861,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456393,Operating Expenditures,,,,,,
C00600718,DAVIDSON FOR CONGRESS,2019,Q1,2.01907E+17,17,BBE50AF59C742464697D,1337219,ORG,ORGANIZATION,,,PNC BANK,OH,,,,,BANK FEES,,,1/31/2019 0:00,105,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,WEST CHESTER,450692510,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456909,Operating Expenditures,,,,,,
C00600718,DAVIDSON FOR CONGRESS,2019,Q1,2.01907E+17,17,B71E48C13D0D14C3BA46,1337219,ORG,ORGANIZATION,,,PNC BANK,OH,,,,,BANK FEES,,,2/28/2019 0:00,75,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:12.9,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,WEST CHESTER,450692510,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456915,Operating Expenditures,,,,,,
C00600718,DAVIDSON FOR CONGRESS,2019,Q1,2.01907E+17,17,B0679B766340F4880B02,1337219,ORG,ORGANIZATION,,,PNC BANK,OH,,,,,BANK FEES,,,3/30/2019 0:00,75,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:13.0,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07082E+18,WEST CHESTER,450692510,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907089150456924,Operating Expenditures,,,,,,
C00384479,DEMOCRATIC PROPERTIES CORPORATION-FEDERAL,2019,M2,2.01902E+17,21B,D58845,1317366,ORG,ORGANIZATION,,,AMALGAMATED BANK,NY,,,,,BANK FEES,,,1/17/2019 0:00,334.63,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,12:41.5,,,,0,,,,,,,,,,,,Y,,U,F3X,4.02212E+18,NEW YORK,10001,OTHER,,2020,SB,4.02212E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201902209145577111,Other Federal Operating Expenditures,,,,,,
C00121368,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),2019,M7,2.01907E+17,21B,D103068,1337281,ORG,ORGANIZATION,,,BANK OF AMERICA,TX,,,,,BANK FEES,,,6/7/2019 0:00,15,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:13.0,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,C,B,F3X,4.07102E+18,HOUSTON,77210,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150524461,Other Federal Operating Expenditures,,,,,,
C00396671,HARDWOOD FEDERATION-PAC INC,2019,M7,2.01907E+17,21B,SB21B.10706,1337418,ORG,ORGANIZATION,,,SUNTRUST BANK,FL,,,,,BANK FEES,,,6/10/2019 0:00,9.95,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.5,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,T,B,F3X,4.07102E+18,ORLANDO,32897,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150527709,Other Federal Operating Expenditures,,,,,,
C00396671,HARDWOOD FEDERATION-PAC INC,2019,M7,2.01907E+17,21B,SB21B.10707,1337418,ORG,ORGANIZATION,,,SUNTRUST BANK,FL,,,,,BANK FEES,,,6/10/2019 0:00,19.95,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.5,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,T,B,F3X,4.07102E+18,ORLANDO,32897,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150527709,Other Federal Operating Expenditures,,,,,,
C00396671,HARDWOOD FEDERATION-PAC INC,2019,M7,2.01907E+17,21B,SB21B.10708,1337418,ORG,ORGANIZATION,,,SUNTRUST BANK,FL,,,,,BANK FEES,,,6/10/2019 0:00,171.93,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.5,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,T,B,F3X,4.07102E+18,ORLANDO,32897,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150527710,Other Federal Operating Expenditures,,,,,,
C00524280,SPECIAL OPERATIONS SPEAKS PAC - SOS PAC,2019,Q1,2.01904E+17,21B,SB21B.I3024,1329125,ORG,ORGANIZATION,,,PNC BANK,PA,,,,,BANK FEES,,,1/31/2019 0:00,50,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,39:02.9,,,,0,,,,,,,,,,,,W,,U,F3X,4.04302E+18,PITTSBURGH,15219,OTHER,,2020,SB,4.05012E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201904309149605294,Other Federal Operating Expenditures,,,,,,
C00495010,CONSERVATIVE CAMPAIGN COMMITTEE,2019,M5,2.01907E+17,21B,B-1884846,1337442,ORG,ORGANIZATION,,,WELLS FARGO,OR,,,,,BANK FEES,,,4/3/2019 0:00,33.5,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,,U,F3X,4.07102E+18,PORTLAND,972286995,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150528776,Other Federal Operating Expenditures,,,,,,
C00495010,CONSERVATIVE CAMPAIGN COMMITTEE,2019,M5,2.01907E+17,21B,B-1884847,1337442,ORG,ORGANIZATION,,,WELLS FARGO,OR,,,,,BANK FEES,,,4/9/2019 0:00,30,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,,U,F3X,4.07102E+18,PORTLAND,972286995,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150528780,Other Federal Operating Expenditures,,,,,,
C00495010,CONSERVATIVE CAMPAIGN COMMITTEE,2019,M5,2.01907E+17,21B,B-1884848,1337442,ORG,ORGANIZATION,,,WELLS FARGO,OR,,,,,BANK FEES,,,4/26/2019 0:00,30,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,,U,F3X,4.07102E+18,PORTLAND,972286995,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150528792,Other Federal Operating Expenditures,,,,,,
C00495010,CONSERVATIVE CAMPAIGN COMMITTEE,2019,M6,2.01907E+17,21B,B-1905017,1337445,ORG,ORGANIZATION,,,WELLS FARGO,OR,,,,,BANK FEES,,,5/1/2019 0:00,30,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,,U,F3X,4.07102E+18,PORTLAND,972286995,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150528847,Other Federal Operating Expenditures,,,,,,
C00495010,CONSERVATIVE CAMPAIGN COMMITTEE,2019,M6,2.01907E+17,21B,B-1905018,1337445,ORG,ORGANIZATION,,,WELLS FARGO,OR,,,,,BANK FEES,,,5/8/2019 0:00,34.5,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,,U,F3X,4.07102E+18,PORTLAND,972286995,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150528853,Other Federal Operating Expenditures,,,,,,
C00495010,CONSERVATIVE CAMPAIGN COMMITTEE,2019,M7,2.01907E+17,21B,B-1920211,1337449,ORG,ORGANIZATION,,,WELLS FARGO,OR,,,,,BANK FEES,,,6/10/2019 0:00,31,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,,U,F3X,4.07102E+18,PORTLAND,972286995,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150528920,Other Federal Operating Expenditures,,,,,,
C00166827,CITIZENS FOR HARKIN,2019,Q2,2.01907E+17,17,VN7A8AE8RN5,1337473,ORG,ORGANIZATION,,,BANKERS TRUST,IA,,,,,BANK FEES,,,4/22/2019 0:00,72.55,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,,,,,,,,,S,,P,F3,4.07102E+18,DES MOINES,503093763,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150529246,Operating Expenditures,,,,,,
C00166827,CITIZENS FOR HARKIN,2019,Q2,2.01907E+17,17,VN7A8AE8RP3,1337473,ORG,ORGANIZATION,,,BANKERS TRUST,IA,,,,,BANK FEES,,,5/17/2019 0:00,73.75,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,,,,,,,,,S,,P,F3,4.07102E+18,DES MOINES,503093763,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150529246,Operating Expenditures,,,,,,
C00166827,CITIZENS FOR HARKIN,2019,Q2,2.01907E+17,17,VN7A8AE8RQ0,1337473,ORG,ORGANIZATION,,,BANKERS TRUST,IA,,,,,BANK FEES,,,6/18/2019 0:00,72.63,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.6,,,,0,,,,,,,,,,,,S,,P,F3,4.07102E+18,DES MOINES,503093763,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150529247,Operating Expenditures,,,,,,
C00623082,NOT WHO WE ARE PAC,2019,MY,2.01907E+17,21B,VSGET9ZPSZ2,1337529,ORG,ORGANIZATION,,,AMALGAMATED BANK,DC,,,,,BANK FEES,,,4/19/2019 0:00,55.07,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.7,,,,0,,,,,,,,,,,,O,,U,F3X,4.07102E+18,WASHINGTON,200061202,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150530721,Other Federal Operating Expenditures,,,,,,
C00623082,NOT WHO WE ARE PAC,2019,MY,2.01907E+17,21B,VSGET9ZS8K5,1337529,ORG,ORGANIZATION,,,AMALGAMATED BANK,DC,,,,,BANK FEES,,,5/21/2019 0:00,55.08,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.7,,,,0,,,,,,,,,,,,O,,U,F3X,4.07102E+18,WASHINGTON,200061202,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150530721,Other Federal Operating Expenditures,,,,,,
C00623082,NOT WHO WE ARE PAC,2019,MY,2.01907E+17,21B,VSGET9ZJ4T5,1337529,ORG,ORGANIZATION,,,AMALGAMATED BANK,DC,,,,,BANK FEES,,,3/19/2019 0:00,55.09,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.7,,,,0,,,,,,,,,,,,O,,U,F3X,4.07102E+18,WASHINGTON,200061202,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150530722,Other Federal Operating Expenditures,,,,,,
C00623082,NOT WHO WE ARE PAC,2019,MY,2.01907E+17,21B,VSGET9ZCKW5,1337529,ORG,ORGANIZATION,,,AMALGAMATED BANK,DC,,,,,BANK FEES,,,1/17/2019 0:00,55.02,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.7,,,,0,,,,,,,,,,,,O,,U,F3X,4.07102E+18,WASHINGTON,200061202,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150530722,Other Federal Operating Expenditures,,,,,,
C00623082,NOT WHO WE ARE PAC,2019,MY,2.01907E+17,21B,VSGET9ZFQF6,1337529,ORG,ORGANIZATION,,,AMALGAMATED BANK,DC,,,,,BANK FEES,,,2/19/2019 0:00,55.16,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.7,,,,0,,,,,,,,,,,,O,,U,F3X,4.07102E+18,WASHINGTON,200061202,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150530722,Other Federal Operating Expenditures,,,,,,
C00623082,NOT WHO WE ARE PAC,2019,MY,2.01907E+17,21B,VSGET9ZVSJ8,1337529,ORG,ORGANIZATION,,,AMALGAMATED BANK,DC,,,,,BANK FEES,,,6/21/2019 0:00,55.08,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:57.7,,,,0,,,,,,,,,,,,O,,U,F3X,4.07102E+18,WASHINGTON,200061202,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907099150530723,Other Federal Operating Expenditures,,,,,,
C00331397,SIMPSON FOR CONGRESS,2019,Q2,2.01907E+17,17,BA6E9CF4327994D8EB6C,1337627,ORG,ORGANIZATION,,,HARLAND CLARKE,,,,,,BANK FEES,,,6/5/2019 0:00,318.37,,,,,,,,,,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,24:10.4,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4.07102E+18,,,OTHER,,2020,SB,4.07102E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907109150534446,Operating Expenditures,,,,,,
C00387811,AMERICA FIRST PARTY OF MISSISSIPPI,2019,M5,2.01905E+17,21B,SB21B.4631,1329587,ORG,ORGANIZATION,,,PLANTERS BANK AND TRUST COMPANY,MS,,,,,BANK FEES,,,4/1/2019 0:00,5.04,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,38:17.4,,,,0,,,,,,,,,,,,X,,U,F3X,4.05042E+18,GREENWOOD,38935,OTHER,,2020,SB,4.05042E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201905049149630768,Other Federal Operating Expenditures,,,,,,
C00401299,FRESENIUS MEDICAL CARE NORTH AMERICA PAC,2019,M2,2.01902E+17,21B,BEC67C042888A4CA6B5C,1315199,ORG,ORGANIZATION,,,BB&T BANK,DC,,,,,BANK FEES,,,1/22/2019 0:00,38,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,33:10.8,,,,0,,,,,,,,,,,,Q,C,B,F3X,4.02082E+18,WASHINGTON,200031148,OTHER,,2020,SB,4.02222E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201902089145478380,Other Federal Operating Expenditures,,,,,,
C00048702,NATIONAL GRID USA POLITICAL ACTION COMMITTEE,2019,M2,2.01902E+17,21B,B35313FAFA0E142B49A0,1315215,ORG,ORGANIZATION,,,"BANK OF AMERICA, N.A.",FL,,,,,BANK FEES,,,1/15/2019 0:00,71.37,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,33:10.8,,,,0,,,,,,,,,,,,Q,C,B,F3X,4.02092E+18,TAMPA,336225118,OTHER,,2020,SB,4.02222E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201902089145478798,Other Federal Operating Expenditures,,,,,,
